person_code,person_name,jugador,person_alias,person_aliasRaw,person_passportName,person_passportSurname,person_jerseyName,person_abbreviatedName,person_country_code,person_country_name,person_height,person_weight,person_birthDate,code,name,person_twitterAccount,person_instagramAccount,person_facebookAccount,person_isReferee,person_images_1,type,typeName,active,startDate,endDate,order,dorsal,dorsalRaw,position,positionName,lastTeam,externalId,headshot,action,club_code,club_name,club_abbreviatedName,club_editorialName,club_tvCode,club_isVirtual,crest,season_name,season_code,season_alias,season_competitionCode,season_year,season_startDate
003240,"BOCHORIDIS, ELEFTHERIOS",Eleftherios Bochoridis,Bochoridis,Bochoridis,ELEFTHERIOS,BOCHORIDIS,BOCHORIDIS,"Bochoridis, E.",GRE,Greece,196,91,1994-04-18T00:00:00,GRE,Greece,,,,FALSE,NA,J,Player,TRUE,2026-09-08T15:37:25.829,2027-06-30T00:00:00,0,13,13,1,Guard,ARIS,56148,NA,NA,ARI,Aris Thessaloniki,Aris,Aris,ARI,FALSE,https://media-cdn.cortextech.io/77e0fd97-1489-4e3c-8e70-ca39075460c0.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
015045,"BOCK, ANTON",Anton Bock,"BOCK, ANTON","BOCK, ANTON",ANTON WILHELM,BOCK,BOCK,NA,GER,Germany,209,96,2009-02-27T00:00:00,GER,Germany,,,,FALSE,NA,J,Player,TRUE,2026-09-09T18:13:38.327,2027-06-30T00:00:00,0,27,27,3,Center,NINERS CHEMNITZ II,56400,NA,NA,NIN,NINERS Chemnitz,Chemnitz,Chemnitz,CHE,FALSE,https://media-cdn.cortextech.io/75ae96be-69f9-4e48-b5bd-b1056842db57.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014105,"BOL, JUOM MAKER",Juom Maker Bol,"BOL MEEN, JUOM MAKER","BOL MEEN, JUOM MAKER",JUOM MAKER,BOL MEEN,BOL,NA,ESP,Spain,208,91,2008-11-08T00:00:00,SSD,South Sudan,,,,FALSE,NA,J,Player,TRUE,2026-09-25T10:42:46.091,2027-06-30T00:00:00,0,58,58,3,Center,SASKI BASKONIA,57014,NA,NA,ULM,ratiopharm ulm,Ulm,Ulm,ULM,FALSE,https://media-cdn.cortextech.io/5750bc8b-dd63-48e4-8586-10d4e5e2b4e2.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
008031,"BONACINI, FEDERICO",Federico Bonacini,"BONACINI, FEDERICO","BONACINI, FEDERICO",FEDERICO,BONACINI,BONACINI,"Bonacini, F.",ITA,Italy,190,83,1999-01-23T00:00:00,ITA,Italy,,,,FALSE,NA,J,Player,TRUE,2026-09-09T11:27:03.418,2027-06-30T00:00:00,0,23,23,1,Guard,BASKET MESTRE 1958,56306,NA,NA,MRO,Maxima Roma,Maxima Roma,Maxima Roma,RMA,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/f1547a87-c0bf-41ab-bf7e-a0001649430d.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
009056,"BONILLA, GAEL",Gael Bonilla,"BONILLA, GAEL","BONILLA, GAEL",YAHIR GAEL,BONILLA SILVA,Bonilla,"Bonilla, G.",MEX,Mexico,202,86,2003-02-26T00:00:00,MEX,Mexico,,,,FALSE,NA,J,Player,TRUE,2026-09-09T16:42:18.708,2027-06-30T00:00:00,0,2,2,2,Forward,NBAGL,56382,NA,NA,BLK,Balkan Botevgrad,Balkan,Balkan,BLK,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/ba6e2d99-3ea9-4730-a0ce-830cccca4657.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
006701,"BORTOLANI, GIORDANO",Giordano Bortolani,Bortolani,Bortolani,GIORDANO,BORTOLANI,BORTOLANI,"Bortolani, G.",ITA,Italy,193,85,2000-12-02T00:00:00,ITA,Italy,,,,FALSE,NA,J,Player,TRUE,2026-09-08T13:13:10.711,2027-06-30T00:00:00,0,12,12,1,Guard,EA7 EMPORIO ARMANI MILANO,56112,NA,NA,TRT,Baglietto Derthona Tortona,Derthona,Derthona,DER,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONv/4976fa46-8eb4-471c-b6dd-4704866c5769.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
003840,"BOUTEILLE, AXEL",Axel Bouteille,"BOUTEILLE, AXEL","BOUTEILLE, AXEL",AXEL,BOUTEILLE,BOUTEILLE,"Bouteille, A.",FRA,France,201,92,1995-04-14T00:00:00,FRA,France,,,,FALSE,NA,J,Player,TRUE,2026-09-08T11:02:13.688,2027-06-30T00:00:00,0,83,83,2,Forward,BUDUCNOST VOLI,55958,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/26c283dd-f277-4607-af5b-9713f02355cb.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/26c283dd-f277-4607-af5b-9713f02355cb.png,BUD,Buducnost VOLI Podgorica,Buducnost VOLI,Buducnost,BUD,FALSE,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
008923,"BOUTSIELE, JERRY",Jerry Boutsiele,"BOUTSIELE, JERRY","BOUTSIELE, JERRY",JERRY FRANCK,BOUTSIELE,BOUTSIELE,"Boutsiele, J.",FRA,France,208,125,1992-12-16T00:00:00,FRA,France,,,,FALSE,NA,J,Player,TRUE,2026-09-08T11:02:12.974,2027-06-30T00:00:00,0,16,16,3,Center,BUDUCNOST VOLI,55955,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/526379c1-c6f0-40f4-87e6-1e669b94b264.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/526379c1-c6f0-40f4-87e6-1e669b94b264.png,BUD,Buducnost VOLI Podgorica,Buducnost VOLI,Buducnost,BUD,FALSE,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
013928,"BOWMAN, KY",Ky Bowman,"BOWMAN, KY","BOWMAN, KY",KYRIAN AZENDE,BOWMAN,BOWMAN,NA,USA,United States of America,190,89,1997-06-16T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-08T10:37:33.087,2027-06-30T00:00:00,0,8,8,1,Guard,REYER VENEZIA,55913,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/587b984b-e793-41b7-b42f-1aed4b972646.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/587b984b-e793-41b7-b42f-1aed4b972646.png,VNC,Umana Reyer Venice,Reyer Venice,Reyer Venice,URV,FALSE,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014853,"BROWN II, DARIUS",Darius Brown II,"BROWN II, DARIUS","BROWN II, DARIUS",DARIUS JOSEPH,BROWN II,BROWN II,NA,USA,United States of America,188,88,1999-07-28T00:00:00,USA,United States of America,NA,NA,NA,FALSE,NA,J,Player,TRUE,2026-09-08T11:32:59.926,2027-06-30T00:00:00,0,0,0,1,Guard,PHOENIX SUNS,55977,NA,NA,TRN,Dolomiti Energia Trento,Trento,Trento,TRE,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCcz1CG/e4ce6137-6d3f-4072-9480-c0b9a9cd617d.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
